PWGTP,SEX,RAC1P,AGEP,PUMA,ST,
100,1,1,57,902,31,
111,2,1,53,902,31,
428,2,1,56,901,31,
458,1,1,57,901,31,
357,1,1,19,901,31,
100,2,1,35,903,31,
104,1,1,36,903,31,
110,1,1,49,902,31,
139,2,1,27,901,31,
120,2,1,84,901,31,
96,2,1,27,904,31,
221,2,1,21,904,31,
99,1,1,34,904,31,
101,1,1,61,901,31,
95,2,1,62,901,31,
145,2,1,44,904,31,
118,2,1,57,902,31,
183,2,9,48,904,31,
149,1,9,20,904,31,
140,2,1,82,901,31,
107,2,1,23,901,31,
107,1,1,29,901,31,
133,2,2,34,901,31,
80,2,1,58,902,31,
88,1,1,59,902,31,
89,2,3,54,904,31,
111,2,3,20,904,31,
145,2,1,18,903,31,
101,2,1,51,902,31,
126,1,1,51,902,31,
137,2,1,40,903,31,
140,1,1,41,903,31,
145,2,1,74,901,31,
110,1,1,81,904,31,
130,2,1,79,904,31,
71,1,1,23,902,31,
91,2,1,23,902,31,
107,2,1,94,901,31,
113,2,1,30,901,31,
91,1,1,31,901,31,
83,2,1,30,901,31,
68,1,1,33,901,31,
95,1,1,64,902,31,
119,2,1,85,901,31,
129,1,1,52,901,31,
114,2,1,42,901,31,
87,2,2,35,904,31,
97,1,2,31,904,31,
116,1,9,54,901,31,
76,2,1,49,901,31,
114,1,1,28,904,31,
93,2,1,30,904,31,
100,2,1,59,904,31,
310,1,1,45,901,31,
381,2,1,46,901,31,
363,2,1,19,901,31,
128,1,1,45,902,31,
110,2,1,42,901,31,
112,2,2,72,903,31,
96,1,1,28,901,31,
90,2,1,27,901,31,
97,1,1,49,902,31,
87,2,1,47,902,31,
95,1,1,59,903,31,
118,2,1,40,902,31,
113,1,1,44,902,31,
122,1,1,50,901,31,
126,2,1,53,901,31,
95,1,1,57,901,31,
121,2,1,47,901,31,
385,1,9,53,903,31,
331,1,9,18,903,31,
97,1,1,55,901,31,
88,2,1,60,901,31,
74,1,1,32,903,31,
81,2,1,24,903,31,
78,1,1,59,902,31,
72,2,1,55,902,31,
58,2,2,83,903,31,
86,1,1,28,902,31,
95,2,1,28,902,31,
109,1,1,46,901,31,
116,2,1,44,901,31,
146,2,1,50,902,31,
131,1,1,58,902,31,
90,2,1,62,901,31,
98,1,1,63,901,31,
96,2,1,23,901,31,
148,2,1,24,901,31,
132,1,1,27,901,31,
127,2,1,27,901,31,
97,1,1,87,904,31,
100,1,1,60,902,31,
92,2,1,59,902,31,
343,1,2,33,904,31,
106,1,1,85,904,31,
125,2,1,83,904,31,
114,1,1,38,901,31,
118,2,1,34,901,31,
350,2,1,42,902,31,
328,1,1,42,902,31,
299,2,1,18,902,31,
108,1,1,31,902,31,
156,1,1,30,902,31,
134,1,1,25,901,31,
127,2,1,28,901,31,
85,1,1,31,901,31,
104,1,1,61,901,31,
95,2,1,60,901,31,
83,1,1,63,903,31,
84,2,1,58,903,31,
329,1,1,36,904,31,
177,2,1,73,904,31,
224,1,1,19,904,31,
350,2,1,50,902,31,
125,2,1,27,901,31,
66,1,1,24,902,31,
91,2,1,27,902,31,
108,2,1,29,901,31,
100,1,1,81,904,31,
122,2,1,67,902,31,
121,1,1,67,902,31,
186,2,2,30,903,31,
140,1,9,27,903,31,
352,2,2,57,903,31,
103,1,1,63,901,31,
111,1,1,51,901,31,
139,2,1,31,901,31,
137,2,1,39,902,31,
134,1,1,48,902,31,
142,2,1,19,903,31,
322,1,1,42,903,31,
320,2,1,48,903,31,
104,1,1,72,901,31,
99,2,1,72,901,31,
138,2,1,44,902,31,
156,1,1,53,902,31,
68,1,1,59,903,31,
69,2,1,56,903,31,
89,1,1,30,901,31,
100,1,1,67,904,31,
113,1,1,44,901,31,
67,2,1,65,901,31,
58,1,1,33,902,31,
78,2,1,31,902,31,
109,1,1,47,901,31,
133,2,1,46,901,31,
87,1,1,22,903,31,
129,2,1,34,902,31,
150,2,1,35,902,31,
143,1,1,59,901,31,
132,2,1,55,901,31,
153,1,1,27,904,31,
140,2,1,27,904,31,
78,1,1,27,902,31,
82,2,1,23,902,31,
117,1,8,44,904,31,
110,2,8,37,904,31,
130,2,8,21,904,31,
92,1,8,78,904,31,
62,2,8,77,904,31,
173,1,8,33,904,31,
95,2,1,74,901,31,
277,2,1,31,904,31,
116,1,1,58,901,31,
106,2,1,60,901,31,
118,1,1,30,904,31,
107,1,1,87,902,31,
99,2,1,86,902,31,
134,1,1,26,902,31,
108,1,1,88,903,31,
165,2,1,84,903,31,
96,2,2,45,903,31,
137,1,2,25,903,31,
126,1,2,21,903,31,
125,1,1,49,902,31,
88,1,1,18,902,31,
99,1,1,26,904,31,
91,2,1,25,904,31,
101,1,1,58,901,31,
108,2,1,94,902,31,
129,2,1,53,901,31,
87,1,1,58,904,31,
111,1,2,49,901,31,
115,1,1,78,902,31,
104,1,1,52,903,31,
117,2,1,52,902,31,
88,1,2,48,904,31,
108,1,1,42,902,31,
115,2,1,40,902,31,
107,1,1,63,901,31,
117,2,1,40,902,31,
109,1,1,40,902,31,
98,2,1,94,902,31,
94,1,1,33,901,31,
95,1,1,86,902,31,
88,2,1,81,902,31,
74,1,2,72,903,31,
88,2,1,59,903,31,
117,1,1,76,902,31,
126,2,1,71,902,31,
101,1,1,65,901,31,
82,2,1,63,901,31,
110,2,1,79,904,31,
132,2,1,53,901,31,
129,1,1,54,901,31,
178,2,1,22,901,31,
98,1,1,57,902,31,
90,2,1,55,902,31,
154,2,1,39,901,31,
149,1,1,38,901,31,
73,1,1,22,904,31,
213,2,1,31,904,31,
215,1,1,30,904,31,
113,1,1,61,903,31,
114,2,1,57,903,31,
109,2,2,55,904,31,
117,1,2,26,904,31,
116,2,1,85,901,31,
172,1,1,53,902,31,
138,2,1,53,902,31,
79,1,1,23,902,31,
110,2,1,41,901,31,
106,1,1,21,901,31,
111,1,1,67,902,31,
92,1,1,57,902,31,
90,1,1,58,901,31,
85,2,1,57,901,31,
88,1,1,35,901,31,
91,2,1,32,901,31,
81,2,1,58,904,31,
100,2,1,62,904,31,
113,2,1,60,902,31,
151,1,1,65,902,31,
110,1,1,18,902,31,
83,2,2,45,903,31,
138,1,1,39,904,31,
99,1,1,83,903,31,
156,2,1,77,903,31,
112,2,1,46,903,31,
91,2,1,60,901,31,
67,1,1,30,902,31,
89,2,1,29,902,31,
354,2,1,88,901,31,
104,1,1,44,901,31,
107,2,1,44,901,31,
76,1,1,19,901,31,
103,2,1,82,904,31,
142,2,1,72,902,31,
180,2,1,53,902,31,
93,2,1,57,902,31,
122,1,1,60,901,31,
114,2,1,61,901,31,
138,1,1,37,902,31,
156,2,1,39,902,31,
64,2,1,86,901,31,
143,1,1,59,901,31,
132,2,1,59,901,31,
238,2,1,26,901,31,
89,1,1,36,901,31,
87,2,1,27,901,31,
138,2,1,44,901,31,
108,2,1,48,902,31,
120,1,1,49,902,31,
119,1,1,21,902,31,
108,2,1,18,902,31,
115,1,1,70,901,31,
112,2,1,66,901,31,
89,1,1,59,902,31,
157,2,1,94,904,31,
215,2,1,67,904,31,
109,1,1,81,902,31,
101,2,1,75,902,31,
206,1,1,21,901,31,
103,2,1,46,902,31,
79,2,1,64,904,31,
88,1,1,61,904,31,
90,2,1,35,903,31,
92,1,1,40,903,31,
92,1,1,42,901,31,
108,2,7,39,901,31,
177,2,7,66,901,31,
178,2,7,42,901,31,
148,1,1,36,901,31,
163,1,3,28,903,31,
243,2,3,52,903,31,
111,2,1,44,902,31,
130,2,1,65,902,31,
93,1,1,45,901,31,
99,2,1,39,901,31,
137,1,1,48,903,31,
143,2,1,45,903,31,
195,2,2,37,901,31,
185,1,2,38,901,31,
105,2,1,33,902,31,
238,1,3,34,902,31,
125,1,1,38,901,31,
128,2,1,36,901,31,
131,2,1,85,901,31,
28,2,1,42,901,31,
27,1,1,20,901,31,
46,1,1,67,901,31,
45,2,1,67,901,31,
357,2,1,64,903,31,
28,1,1,77,901,31,
30,2,1,72,901,31,
57,2,1,45,901,31,
84,2,1,24,902,31,
80,1,1,25,902,31,
88,1,1,64,902,31,
81,2,1,59,902,31,
98,1,1,39,901,31,
100,2,1,36,901,31,
